Rank,Model name,Model type,Avg. Spearman,Std. Error of Diff. to Best Score*,Low depth,Medium depth,High depth,Human,Other Eukaryote,Prokaryote,Virus,1,2,3,4,5+,Description,References
13,Progen2 (ensemble),Protein language model,0.413,0.011,0.367,0.416,0.447,0.399,0.459,0.462,0.364,0.41,0.312,0.233,0.228,0.282,Ensemble of the 5 Progen2 models,"Nijkamp, E., Ruffolo, J.A., Weinstein, E.N., Naik, N., & Madani, A. (2022). ProGen2: Exploring the Boundaries of Protein Language Models. ArXiv, abs/2206.13517. "
14,VESPAl,Protein language model,0.408,0.01,0.401,0.386,0.476,0.37,0.472,0.487,0.356,0.399,0.359,0.313,0.26,0.328,VESPAl model,"Marquet, C., Heinzinger, M., Olenyi, T., Dallago, C., Bernhofer, M., Erckert, K., & Rost, B. (2021). Embeddings from protein language models predict conservation and variant effects. Human Genetics, 141, 1629 - 1647."
15,DeepSequence (single),Alignment-based model,0.404,0.009,0.389,0.388,0.464,0.392,0.478,0.465,0.326,0.398,0.357,0.337,0.315,0.412,DeepSequence model (single seed),"Riesselman, A.J., Ingraham, J., & Marks, D.S. (2018). Deep generative models of genetic variation capture the effects of mutations. Nature Methods, 15, 816-822."
16,Progen2 XL,Protein language model,0.402,0.01,0.362,0.401,0.447,0.342,0.466,0.49,0.376,0.403,0.358,0.382,0.315,0.348,Progen2 xlarge model (6.4B params),"Nijkamp, E., Ruffolo, J.A., Weinstein, E.N., Naik, N., & Madani, A. (2022). ProGen2: Exploring the Boundaries of Protein Language Models. ArXiv, abs/2206.13517. "
17,Tranception L no retrieval,Protein language model,0.401,0.009,0.379,0.399,0.429,0.361,0.436,0.45,0.395,0.393,0.398,0.418,0.334,0.422,Tranception Large model (700M params) without retrieval,"Notin, P., Dias, M., Frazer, J., Marchena-Hurtado, J., Gomez, A.N., Marks, D.S., & Gal, Y. (2022). Tranception: Protein Fitness Prediction with Autoregressive Transformers and Inference-time Retrieval. ICML."
18,ESM-1v (ensemble),Protein language model,0.401,0.019,0.372,0.372,0.51,0.424,0.441,0.502,0.256,0.399,0.309,0.203,0.165,0.253,ESM-1v (ensemble of 5 independently-trained models),"Meier, J., Rao, R., Verkuil, R., Liu, J., Sercu, T., & Rives, A. (2021). Language models enable zero-shot prediction of the effects of mutations on protein function. NeurIPS."
19,Wavenet,Alignment-based model,0.391,0.01,0.312,0.396,0.457,0.378,0.446,0.472,0.308,0.389,0.344,0.324,0.282,0.35,Wavenet model,"Shin, J., Riesselman, A.J., Kollasch, A.W., McMahon, C., Simon, E., Sander, C., Manglik, A., Kruse, A.C., & Marks, D.S. (2021). Protein design and variant prediction using autoregressive generative models. Nature Communications, 12."
20,RITA (ensemble),Protein language model,0.388,0.014,0.332,0.409,0.385,0.378,0.387,0.381,0.41,0.38,0.236,0.135,0.181,0.246,Ensemble of the 4 RITA models,"Hesslow, D., Zanichelli, N., Notin, P., Poli, I., & Marks, D.S. (2022). RITA: a Study on Scaling Up Generative Protein Sequence Models. ArXiv, abs/2205.05789."
21,Progen2 L,Protein language model,0.387,0.012,0.362,0.385,0.417,0.38,0.444,0.434,0.325,0.387,0.333,0.281,0.265,0.302,Progen2 large model (2.7B params),"Nijkamp, E., Ruffolo, J.A., Weinstein, E.N., Naik, N., & Madani, A. (2022). ProGen2: Exploring the Boundaries of Protein Language Models. ArXiv, abs/2206.13517. "
22,Progen2 M,Protein language model,0.383,0.014,0.327,0.393,0.413,0.38,0.406,0.428,0.337,0.383,0.274,0.167,0.173,0.22,Progen2 medium model (760M params),"Nijkamp, E., Ruffolo, J.A., Weinstein, E.N., Naik, N., & Madani, A. (2022). ProGen2: Exploring the Boundaries of Protein Language Models. ArXiv, abs/2206.13517. "
23,Progen2 Base,Protein language model,0.383,0.013,0.356,0.388,0.396,0.383,0.424,0.422,0.327,0.378,0.25,0.133,0.18,0.246,Progen2 base model (760M params),"Nijkamp, E., Ruffolo, J.A., Weinstein, E.N., Naik, N., & Madani, A. (2022). ProGen2: Exploring the Boundaries of Protein Language Models. ArXiv, abs/2206.13517. "
24,RITA XL,Protein language model,0.38,0.013,0.309,0.4,0.394,0.352,0.382,0.404,0.398,0.376,0.234,0.151,0.193,0.26,RITA xlarge model (1.2B params),"Hesslow, D., Zanichelli, N., Notin, P., Poli, I., & Marks, D.S. (2022). RITA: a Study on Scaling Up Generative Protein Sequence Models. ArXiv, abs/2205.05789."
25,Site-Independent,Alignment-based model,0.375,0.012,0.434,0.378,0.309,0.366,0.417,0.324,0.412,0.375,0.322,0.285,0.321,0.407,Site-Independent model,"Hopf, T.A., Ingraham, J., Poelwijk, F.J., Schärfe, C.P., Springer, M., Sander, C., & Marks, D.S. (2017). Mutation effects predicted from sequence co-variation. Nature Biotechnology, 35, 128-135."
26,RITA L,Protein language model,0.375,0.014,0.322,0.396,0.365,0.367,0.389,0.354,0.398,0.362,0.227,0.145,0.179,0.242,RITA large model (680M params),"Hesslow, D., Zanichelli, N., Notin, P., Poli, I., & Marks, D.S. (2022). RITA: a Study on Scaling Up Generative Protein Sequence Models. ArXiv, abs/2205.05789."
27,ESM-1v (single),Protein language model,0.372,0.02,0.329,0.35,0.48,0.396,0.417,0.48,0.22,0.374,0.29,0.203,0.151,0.235,ESM-1v (single seed),"Meier, J., Rao, R., Verkuil, R., Liu, J., Sercu, T., & Rives, A. (2021). Language models enable zero-shot prediction of the effects of mutations on protein function. NeurIPS."
28,RITA M,Protein language model,0.366,0.015,0.324,0.388,0.345,0.358,0.375,0.349,0.388,0.36,0.237,0.122,0.167,0.223,RITA medium model (300M params),"Hesslow, D., Zanichelli, N., Notin, P., Poli, I., & Marks, D.S. (2022). RITA: a Study on Scaling Up Generative Protein Sequence Models. ArXiv, abs/2205.05789."
29,ESM-1b,Protein language model,0.358,0.019,0.344,0.327,0.463,0.391,0.442,0.485,0.153,0.351,0.318,0.215,0.161,0.318,ESM-1b (w/ Brandes et al. extensions),"[1] Original model: Rives, A., Goyal, S., Meier, J., Guo, D., Ott, M., Zitnick, C.L., Ma, J., & Fergus, R. (2019). Biological structure and function emerge from scaling unsupervised learning to 250 million protein sequences. Proceedings of the National Academy of Sciences of the United States of America, 118. [2] Extensions: Brandes, N., Goldman, G., Wang, C.H., Ye, C.J., & Ntranos, V. (2022). Genome-wide prediction of disease variants with a deep protein language model. bioRxiv."
30,Unirep evotuned,Hybrid model,0.348,0.014,0.314,0.351,0.373,0.334,0.338,0.372,0.351,0.339,0.284,0.279,0.246,0.323,Unirep model w/ evotuning,"Alley, E.C., Khimulya, G., Biswas, S., AlQuraishi, M., & Church, G.M. (2019). Unified rational protein engineering with sequence-based deep representation learning. Nature Methods, 1-8."
31,Progen2 S,Protein language model,0.341,0.019,0.307,0.345,0.366,0.371,0.374,0.361,0.264,0.334,0.249,0.118,0.161,0.202,Progen2 small model (150M params),"Nijkamp, E., Ruffolo, J.A., Weinstein, E.N., Naik, N., & Madani, A. (2022). ProGen2: Exploring the Boundaries of Protein Language Models. ArXiv, abs/2206.13517. "
32,RITA S,Protein language model,0.321,0.017,0.278,0.344,0.299,0.31,0.311,0.29,0.37,0.315,0.211,0.082,0.137,0.181,RITA small model (85M params),"Hesslow, D., Zanichelli, N., Notin, P., Poli, I., & Marks, D.S. (2022). RITA: a Study on Scaling Up Generative Protein Sequence Models. ArXiv, abs/2205.05789."
33,ProtGPT2,Protein language model,0.175,0.019,0.167,0.183,0.161,0.218,0.172,0.168,0.122,0.176,0.196,0.057,0.052,0.067,ProtGPT2 model,"Ferruz, N., Schmidt, S., & Höcker, B. (2022). ProtGPT2 is a deep unsupervised language model for protein design. Nature Communications, 13."
34,Unirep,Protein language model,0.166,0.023,0.224,0.149,0.159,0.254,0.226,0.166,0.01,0.161,0.201,0.097,0.126,0.192,Unirep model,"Alley, E.C., Khimulya, G., Biswas, S., AlQuraishi, M., & Church, G.M. (2019). Unified rational protein engineering with sequence-based deep representation learning. Nature Methods, 1-8."
